web_name,team,position,form,now_cost,selected_by_percent,event_points,total_points,ict_index,influence,creativity,threat,transfers_in_event,transfers_out_event,bonus,goals_scored,assists,goals_conceded,clean_sheets,saves,own_goals,penalties_missed,penalties_saved,penalties_order,yellow_cards,red_cards,starts,minutes,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,chance_of_playing_next_round,chance_of_playing_this_round,status,in_dreamteam,dreamteam_count,ep_this,ep_next,strength,is_GKP,goal_involvement
Billing,BOU,MID,5.0,5.2,0.4,1,32,49.3,193.8,162.7,138.0,1052,1655,3,1,1,24,1,0,0,0,0,0.0,2,0,11,931,1.55,1.04,2.59,21.68,100.0,100.0,Available,0,0,4.0,4.5,3,0,2
Brooks,BOU,MID,0.3,4.9,0.1,0,15,22.8,61.8,82.0,83.0,39,289,2,1,0,3,0,0,0,0,0,0.0,1,0,2,223,1.64,0.38,2.02,4.45,0.0,0.0,Available,0,0,-0.7,-0.2,3,0,1
Christie,BOU,MID,1.7,5.0,0.1,2,23,37.6,104.8,155.9,114.0,50,251,0,0,1,22,1,0,0,0,0,0.0,0,0,10,782,0.41,0.82,1.23,18.65,100.0,100.0,Available,0,0,0.7,1.2,3,0,1
L.Cook,BOU,MID,-0.7,5.0,0.0,0,10,15.7,76.6,62.3,18.0,20,28,0,0,0,15,1,0,0,0,0,0.0,0,1,6,524,0.07,0.22,0.29,16.66,100.0,0.0,Available,0,0,0.0,-1.2,3,0,0
Siriki,BOU,MID,0.0,4.5,0.0,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Fredericks,BOU,DEF,0.0,4.4,0.0,0,0,0.0,0.0,0.0,0.0,16,25,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,3,0,0
Hill,BOU,DEF,0.0,4.0,0.1,0,1,0.2,0.0,1.8,0.0,0,242,0,0,0,0,0,0,0,0,0,0.0,0,0,0,15,0.0,0.01,0.01,0.19,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Kelly,BOU,DEF,0.7,4.5,0.0,-1,12,14.4,99.4,39.3,6.0,101,119,2,0,0,14,1,0,0,0,0,0.0,1,0,6,546,0.12,0.09,0.21,10.42,100.0,100.0,Available,0,0,-0.3,0.2,3,0,0
Kilkenny,BOU,MID,0.0,4.4,0.1,0,0,0.0,0.0,0.0,0.0,40,201,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Available,0,0,-1.0,-0.5,3,0,0
Kluivert,BOU,MID,0.3,4.6000000000000005,0.2,1,10,13.9,25.8,53.7,58.0,280,631,0,0,0,8,0,0,0,0,0,0.0,0,0,4,339,0.35,0.67,1.02,8.66,0.0,0.0,Available,0,0,-0.7,-0.2,3,0,0
Lowe,BOU,MID,0.0,4.9,0.0,0,0,0.0,0.0,0.0,0.0,0,8,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Unavailable,0,0,0.0,0.0,3,0,0
Marcondes,BOU,MID,0.0,4.4,0.0,0,0,0.0,0.0,0.0,0.0,14,27,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Injured,0,0,0.0,0.0,3,0,0
Mepham,BOU,DEF,0.7,4.3,0.1,0,3,6.8,34.2,12.2,21.0,34,63,0,0,0,5,0,0,0,0,0,0.0,1,0,2,168,0.09,0.03,0.12,2.98,100.0,100.0,Available,0,0,-0.3,0.2,3,0,0
Moore,BOU,FWD,0.3,4.7,0.2,0,5,6.3,3.0,17.2,45.0,392,798,0,0,0,1,0,0,0,0,0,0.0,0,0,0,83,0.47,0.31,0.78,1.69,0.0,0.0,Available,0,0,-0.7,-0.2,3,0,0
Neto,BOU,GKP,0.7,4.5,1.2,0,30,31.3,312.0,0.0,0.0,65,6862,5,0,0,20,1,40,0,0,1,0.0,3,0,9,810,0.0,0.01,0.01,21.32,0.0,0.0,Injured,0,1,0.0,0.0,3,1,0
O.Dango,BOU,MID,0.3,4.800000000000001,0.0,0,7,14.2,31.4,44.7,65.0,18,50,0,0,0,5,1,0,0,0,0,0.0,1,0,2,212,0.6,0.24,0.84,4.56,100.0,100.0,Available,0,0,-0.7,-0.2,3,0,0
